Jugador,categoria,Partidos,Minutos_jugados,Goles,Asistencias,Paradas,Goles_encajados,Tiros,Tiros_a_ puerta,Precision_tiros,Centros,Centros_ precisos,Precision_centros,Tiros_al palo,Corners_forzados,Faltas_recibidas,Faltas_cometidas,Pases_interceptados,Balones_robados,Balones_robado al_ultimo_hombre,Tarjetas_amarillas,Tarjetas_rojas,Penaltis_cometidos,Penaltis_forzados,Penaltis_lanzados,Penaltis_anotados,Penaltis_parados,Goles_en_propia_meta,Tiros_bloqueados,Errores_en_gol_en_contra,Regates_con_exito,Pasesconexito,Precisionpases,Cornerscolgados,Faltascolgadas,Faltascolgadasprecisas,Faltas directas,Faltasdirectasapuerta,Golesdefalta
Stanislav Lobotka,3,17,1383,0,0,0,0,8,3,38,4,0,0,0,6,21,11,8,11,0,1,0,0,0,0,0,0,0,2,0,10,9,89,1,2,0,0,0,0
Aleix Febas,3,23,1401,0,3,0,0,8,4,50,2,0,0,0,4,36,13,14,21,0,3,0,0,1,0,0,0,0,0,0,33,20,83,0,0,0,0,0,0
Nlson Semedo,2,22,1406,0,2,0,0,4,0,0,10,200,20,2,10,24,16,17,22,0,1,0,0,1,0,0,0,0,1,0,32,600,88,0,0,0,0,0,0
Okay Yokuslu,3,17,1406,0,1,0,0,6,1,17,3,1,33,0,2,10,31,22,17,0,3,0,0,0,0,0,0,0,2,0,17,7,81,0,0,0,0,0,0
Joo Flix,4,20,1409,4,1,0,0,50,14,28,17,2,12,0,12,34,27,7,3,0,5,0,0,1,0,0,0,0,0,0,19,12,79,1,1,0,2,0,0
Gonzalo Escalante,3,20,1410,0,1,0,0,19,4,21,14,3,21,0,3,26,28,25,23,0,7,1,0,1,0,0,0,0,3,0,13,9,69,0,2,0,0,0,0
Rubn Pea,2,19,1418,1,1,0,0,5,200,40,66,1200,18,1,10,19,29,22,17,0,5,0,0,0,0,0,0,1,5,0,16,1400,81,0,1,0,0,0,0
Nemanja Radoja,3,18,1436,1,0,0,0,1,1,100,5,2,40,0,1,16,13,18,13,0,2,0,0,0,0,0,0,0,1,0,16,5,86,0,0,0,0,0,0
Ezequiel Garay,2,17,1437,0,0,0,0,6,300,50,2,0,0,0,4,1,10,13,8,0,2,0,1,0,0,0,0,0,17,0,0,300,88,0,4,0,0,0,0
Luka Modric,3,23,1439,3,4,0,0,21,9,43,44,12,27,0,8,16,19,18,10,0,3,1,0,1,0,0,0,0,2,0,22,28,88,14,6,2,0,0,0
Jonathan Calleri,4,20,1443,1,3,0,0,38,11,29,20,5,25,2,14,38,38,7,7,0,3,0,0,0,0,0,0,0,3,0,16,16,54,0,0,0,0,0,0
Willian Jos,4,26,1443,9,0,0,0,43,15,35,6,0,0,0,2,12,22,0,2,0,4,0,0,0,0,0,0,0,2,0,4,12,71,0,0,0,1,0,0
Carlos Soler,3,19,1444,2,0,0,0,14,4,29,14,4,29,1,1,13,20,9,7,0,3,0,0,0,0,0,0,0,5,0,13,11,79,6,2,0,0,0,0
Borja Iglesias,4,25,1454,3,2,0,0,23,7,30,5,1,20,1,9,13,28,3,5,0,1,1,1,0,0,0,0,0,4,0,11,15,75,0,0,0,0,0,0
Rodrigo Moreno,4,22,1460,3,7,0,0,34,13,38,21,7,33,1,4,24,14,7,3,0,2,1,0,2,0,0,0,0,1,0,19,26,77,0,0,0,0,0,0
Kevin Rodrigues,2,20,1462,1,2,0,0,15,600,40,103,2900,28,0,8,16,32,23,25,0,4,1,0,0,0,0,0,0,3,0,23,2400,74,25,20,9,1,0,0
Jordi Alba,2,18,1465,2,2,0,0,5,200,40,44,900,20,0,9,12,10,24,7,0,5,0,0,0,0,0,0,0,1,0,11,2000,89,0,0,0,0,0,0
Jasper Cillessen,1,17,1466,0,1,49,20,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,2,0,0,1,0,1,56,0,7,0,0,0,0
Samuel Chukwueze,3,27,1466,3,1,0,0,38,10,26,30,6,20,0,14,32,10,4,11,0,1,0,0,2,0,0,0,0,1,1,44,30,73,0,0,0,0,0,0
Santi Mina,4,25,1466,3,2,0,0,36,10,28,20,5,25,1,14,30,36,5,5,0,4,0,0,0,0,0,0,0,2,0,14,15,71,0,0,0,1,0,0
Sergi Enrich,4,21,1475,1,3,0,0,21,3,14,4,0,0,1,7,19,52,8,7,0,4,0,0,0,0,0,0,0,2,0,6,8,71,0,0,0,0,0,0
Rubn Prez,3,17,1478,0,0,0,0,14,2,14,6,0,0,0,3,25,23,28,19,0,7,0,1,0,0,0,0,0,4,0,10,5,75,0,6,0,0,0,0
Carlos Fernndez,4,24,1483,6,3,0,0,31,12,39,5,0,0,0,7,25,46,10,12,1,7,0,0,1,0,0,0,0,2,0,17,16,60,0,0,0,2,0,0
Takashi Inui,3,21,1483,1,3,0,0,33,9,27,36,4,11,0,14,21,25,14,7,0,2,0,0,1,0,0,0,0,4,0,18,18,81,0,0,0,0,0,0
Pedro Len,3,24,1485,1,0,0,0,25,11,44,137,36,26,0,17,13,17,14,17,0,3,0,0,0,0,0,0,0,0,0,14,32,67,47,22,5,4,1,0
Mario Gaspar,2,17,1498,0,1,0,0,13,100,8,22,700,32,0,9,8,25,21,17,0,2,0,0,0,0,0,0,0,9,0,3,1500,74,0,2,0,0,0,0
Jules Kound,2,20,1499,1,1,0,0,15,500,33,10,100,10,0,4,7,10,14,9,0,3,0,1,0,0,0,0,0,6,0,13,300,85,0,4,0,0,0,0
Maxime Gonalons,3,19,1506,0,0,0,0,6,4,67,1,0,0,0,2,25,36,20,40,0,7,0,0,0,0,0,0,0,3,0,12,8,81,0,7,0,0,0,0
Jorge Molina,4,25,1511,5,2,0,0,28,11,39,11,3,27,2,15,33,29,4,1,0,4,1,0,1,2,2,0,0,1,0,17,19,64,0,0,0,0,0,0
Darwin Machs,4,27,1512,6,3,0,0,52,21,40,90,17,19,1,14,29,29,19,10,0,3,0,0,0,1,1,0,0,2,0,40,25,73,24,16,2,1,1,0
ngel Correa,4,23,1514,5,6,0,0,38,14,37,27,7,26,2,19,28,19,9,8,0,5,0,0,0,0,0,0,0,4,0,30,20,77,6,0,0,1,0,0
Borja Mayoral,4,24,1514,5,1,0,0,32,12,38,17,3,18,0,8,22,17,2,2,0,2,0,0,0,0,0,0,0,0,0,21,15,79,0,0,0,0,0,0
Enis Bardhi,3,22,1523,2,2,0,0,38,11,29,47,8,17,1,14,31,33,10,11,0,4,0,0,1,0,0,0,0,3,0,25,21,76,15,8,1,9,3,0
Takefusa Kubo,3,25,1528,3,2,0,0,32,15,47,56,8,14,0,20,46,28,16,17,0,2,0,0,2,0,0,0,0,0,0,36,19,70,11,6,1,2,2,0
Andrs Guardado,3,20,1529,0,3,0,0,10,4,40,14,4,29,0,4,16,29,15,12,0,9,0,1,0,0,0,0,0,4,0,14,22,84,1,2,0,0,0,0
Ivn Cullar,1,17,1532,0,0,41,23,0,0,0,0,0,0,0,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,46,0,8,0,0,0,0
Carlos Neva,2,18,1539,0,0,0,0,5,300,60,56,700,13,0,14,28,6,18,4,0,1,0,0,0,0,0,0,0,1,0,4,600,70,0,3,0,0,0,0
Nacho Vidal,2,19,1554,0,0,0,0,12,200,17,48,600,13,1,8,25,22,35,18,0,5,0,1,0,0,0,0,0,6,0,24,1700,71,0,7,0,0,0,0
Robin Le Normand,2,21,1557,1,0,0,0,6,100,17,0,0,0,0,1,12,18,9,16,0,5,0,1,0,0,0,0,0,6,0,0,0,88,0,6,0,0,0,0
Maxi Gmez,4,23,1561,9,2,0,0,31,17,55,6,0,0,0,7,48,36,5,7,0,5,0,0,0,1,0,0,0,0,0,7,11,63,0,1,0,0,0,0
Loren Morn,4,27,1571,9,2,0,0,40,13,33,6,2,33,3,7,35,20,7,11,0,2,1,0,0,0,0,0,0,6,0,8,14,66,0,0,0,0,0,0
Francis Coquelin,3,20,1577,0,0,0,0,9,1,11,1,0,0,0,1,24,27,36,18,0,7,1,1,1,0,0,0,0,8,0,15,3,89,0,3,0,0,0,0
Ximo Navarro,2,18,1580,0,0,0,0,5,100,20,18,200,11,0,4,21,27,44,17,0,8,0,0,0,0,0,0,0,6,0,5,300,77,0,5,0,0,0,0
David Lpez,3,22,1581,2,2,0,0,10,5,50,10,5,50,0,4,19,27,21,14,0,4,1,0,0,0,0,0,0,8,0,3,13,79,0,6,0,0,0,0
Vctor Snchez,3,21,1581,0,1,0,0,8,1,13,68,18,26,0,2,29,46,25,35,0,10,1,2,0,0,0,0,0,7,1,11,22,81,15,21,3,1,0,0
Chimy vila,4,20,1590,9,2,0,0,70,28,40,22,4,18,2,20,43,46,4,12,0,6,0,0,1,0,0,0,0,0,0,16,22,59,0,0,0,0,0,0
Kieran Trippier,2,20,1591,0,3,0,0,3,0,0,113,2800,25,0,15,11,19,20,29,0,2,0,1,0,0,0,0,0,5,0,12,3200,75,41,21,3,2,0,0
Chidozie Awaziem,2,19,1595,0,0,0,0,8,0,0,5,200,40,0,1,11,17,27,17,0,7,0,0,0,0,0,0,0,15,1,6,400,75,0,19,0,0,0,0
Diego Javier Llorente,2,19,1607,0,1,0,0,5,100,20,0,0,0,0,0,12,15,19,11,0,4,1,0,1,0,0,0,0,7,1,4,300,87,0,4,0,0,0,0
Lumor Agbenyenu,2,20,1608,0,0,0,0,12,100,8,68,1200,18,0,12,9,13,23,17,0,5,1,0,0,0,0,0,0,2,0,27,1500,74,0,2,0,0,0,0
Martn Aguirregabiria,2,23,1620,0,1,0,0,3,100,33,25,700,28,0,3,16,27,11,21,0,3,0,1,0,0,0,0,0,4,0,13,700,69,0,4,0,0,0,0
Joan Jordan,3,24,1623,2,2,0,0,22,5,23,76,25,33,1,11,21,49,14,25,0,5,0,0,1,0,0,0,0,5,1,25,30,87,34,21,3,6,2,1
Rodrigo Ely,2,19,1640,1,0,0,0,4,100,25,2,0,0,0,1,12,25,32,12,0,7,0,0,0,0,0,0,0,14,0,2,100,77,0,18,0,0,0,0
Yangel Herrera,3,21,1643,2,2,0,0,24,4,17,5,0,0,0,2,38,60,24,42,0,10,0,0,0,0,0,0,0,8,0,12,10,77,0,2,0,0,0,0
Pape Diop,3,21,1646,1,0,0,0,20,6,30,7,1,14,0,5,27,37,28,19,0,6,0,0,0,0,0,0,0,3,0,2,11,74,1,1,0,0,0,0
lvaro Morata,4,24,1647,8,1,0,0,57,27,47,10,1,10,1,19,51,46,4,7,0,5,1,0,0,2,1,0,0,2,0,14,21,66,0,0,0,0,0,0
Roque Mesa,3,21,1648,1,2,0,0,19,8,42,41,12,29,0,8,39,28,6,18,0,8,0,0,0,0,0,0,0,4,0,30,20,84,12,6,1,1,1,0
Oier Sanjurjo,3,20,1656,2,0,0,0,14,5,36,8,3,38,0,4,31,32,21,25,0,10,1,0,0,0,0,0,0,4,1,6,10,71,0,0,0,0,0,0
Hugo Mallo,2,22,1657,0,1,0,0,5,200,40,63,900,14,0,5,23,23,21,31,0,7,0,0,0,0,0,0,0,6,0,3,900,80,1,6,0,0,0,0
Iker Munian,3,21,1657,5,2,0,0,22,11,50,41,7,17,0,12,42,19,8,14,0,1,1,0,0,0,0,0,0,0,0,49,31,86,16,10,2,1,0,0
Edu Expsito,3,26,1674,2,1,0,0,19,10,53,10,2,20,1,4,10,20,29,22,0,3,0,0,0,0,0,0,0,4,0,16,16,84,0,3,0,0,0,0
Germn Snchez,2,20,1680,2,0,0,0,8,400,50,0,0,0,0,2,18,20,25,8,0,10,1,0,0,0,0,0,0,17,0,1,0,80,0,15,0,0,0,0
Darko Brasanac,3,21,1682,0,1,0,0,19,8,42,12,1,8,0,11,17,45,14,24,0,7,0,0,1,0,0,0,0,4,0,5,18,76,0,1,0,0,0,0
Paulo Oliveira,2,20,1683,1,0,0,0,10,300,30,3,100,33,0,3,13,16,38,16,0,7,1,0,0,0,0,0,1,12,1,2,200,69,0,10,0,0,0,0
